id_transacao,data,funcionario,cargo,descricao,valor,categoria,departamento
TX_1022,2008-04-01,Angela Martin,Contadora,Dunder Mifflin Warehouse - Despesa de Logística,47.78,Logística,Contabilidade
TX_1023,2008-04-01,Stanley Hudson,Vendedor,Estacionamento Central - Despesa de Transporte Local,84.45,Transporte Local,Vendas
TX_1024,2008-04-01,Kelly Kapoor,Atendimento,Manutenção de Copiadora - Despesa de Manutenção,10.24,Manutenção,Atendimento ao Cliente
TX_1025,2008-04-01,Andy Bernard,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,175.62,Refeição com Cliente,Vendas
TX_1026,2008-04-01,Kelly Kapoor,Atendimento,FedEx - Despesa de Correios,30.77,Correios,Atendimento ao Cliente
TX_1027,2008-04-01,Angela Martin,Contadora,Manutenção de Copiadora - Despesa de Manutenção,58.06,Manutenção,Contabilidade
TX_1028,2008-04-01,Stanley Hudson,Vendedor,Dunkin Donuts - Despesa de Refeição,155.18,Refeição,Vendas
TX_1029,2008-04-01,Stanley Hudson,Vendedor,Chili's - Despesa de Refeição com Cliente,42.24,Refeição com Cliente,Vendas
TX_1030,2008-04-01,Darryl Philbin,Chefe de Depósito,Dunder Mifflin Warehouse - Despesa de Logística,16.6,Logística,Depósito
TX_1031,2008-04-01,Toby Flenderson,RH,Água Crystal - Despesa de Copa e Cozinha,39.17,Copa e Cozinha,Recursos Humanos
TX_1032,2008-04-02,Dwight Schrute,Vendedor,Equipamento de Vigilância (Walkie Talkies),45.0,Segurança,Vendas
TX_1033,2008-04-02,Michael Scott,Gerente Regional,Binóculos de Visão Noturna,180.0,Segurança,Gerência
TX_1034,2008-04-02,Toby Flenderson,RH,FedEx - Despesa de Correios,19.98,Correios,Recursos Humanos
TX_1035,2008-04-02,Stanley Hudson,Vendedor,Dunkin Donuts - Despesa de Refeição,65.09,Refeição,Vendas
TX_1036,2008-04-02,Michael Scott,Gerente Regional,Gasolina Shell - Despesa de Transporte Local,76.54,Transporte Local,Gerência
TX_1037,2008-04-02,Darryl Philbin,Chefe de Depósito,Dunder Mifflin Warehouse - Despesa de Logística,11.01,Logística,Depósito
TX_1038,2008-04-02,Creed Bratton,Qualidade,FedEx - Despesa de Correios,14.45,Correios,Qualidade
TX_1039,2008-04-02,Angela Martin,Contadora,Água Crystal - Despesa de Copa e Cozinha,59.69,Copa e Cozinha,Contabilidade
TX_1040,2008-04-02,Michael Scott,Gerente Regional,Gasolina Shell - Despesa de Transporte Local,198.64,Transporte Local,Gerência
TX_1041,2008-04-02,Phyllis Vance,Vendedor,Papelaria Local - Despesa de Material de Escritório,149.9,Material de Escritório,Vendas
TX_1042,2008-04-02,Jim Halpert,Vendedor,Chili's - Despesa de Refeição com Cliente,94.11,Refeição com Cliente,Vendas
TX_1043,2008-04-02,Andy Bernard,Vendedor,Cugino's - Despesa de Refeição com Cliente,131.5,Refeição com Cliente,Vendas
TX_1044,2008-04-02,Darryl Philbin,Chefe de Depósito,Vending Machine - Despesa de Diversos,34.43,Diversos,Depósito
TX_1045,2008-04-02,Toby Flenderson,RH,FedEx - Despesa de Correios,36.61,Correios,Recursos Humanos
TX_1046,2008-04-02,Oscar Martinez,Contador,Manutenção de Copiadora - Despesa de Manutenção,75.99,Manutenção,Contabilidade
TX_1047,2008-04-02,Creed Bratton,Qualidade,Água Crystal - Despesa de Copa e Cozinha,5.56,Copa e Cozinha,Qualidade
TX_1048,2008-04-02,Kevin Malone,Contador,Dunder Mifflin Warehouse - Despesa de Logística,45.59,Logística,Contabilidade
TX_1049,2008-04-02,Michael Scott,Gerente Regional,Gasolina Shell - Despesa de Transporte Local,103.49,Transporte Local,Gerência
TX_1050,2008-04-02,Stanley Hudson,Vendedor,Estacionamento Central - Despesa de Transporte Local,176.52,Transporte Local,Vendas
TX_1051,2008-04-02,Meredith Palmer,Rel. Fornecedores,Dunder Mifflin Warehouse - Despesa de Logística,15.87,Logística,Suprimentos
TX_1052,2008-04-02,Kelly Kapoor,Atendimento,Água Crystal - Despesa de Copa e Cozinha,29.77,Copa e Cozinha,Atendimento ao Cliente
TX_1053,2008-04-02,Andy Bernard,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,160.18,Refeição com Cliente,Vendas
TX_1054,2008-04-02,Phyllis Vance,Vendedor,Estacionamento Central - Despesa de Transporte Local,146.72,Transporte Local,Vendas
TX_1055,2008-04-02,Darryl Philbin,Chefe de Depósito,Água Crystal - Despesa de Copa e Cozinha,27.8,Copa e Cozinha,Depósito
TX_1056,2008-04-02,Darryl Philbin,Chefe de Depósito,Água Crystal - Despesa de Copa e Cozinha,11.49,Copa e Cozinha,Depósito
TX_1057,2008-04-02,Phyllis Vance,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,142.2,Refeição com Cliente,Vendas
TX_1058,2008-04-02,Creed Bratton,Qualidade,Dunder Mifflin Warehouse - Despesa de Logística,15.4,Logística,Qualidade
TX_1059,2008-04-03,Phyllis Vance,Vendedor,Dunkin Donuts - Despesa de Refeição,86.62,Refeição,Vendas
TX_1060,2008-04-03,Dwight Schrute,Vendedor,Dunkin Donuts - Despesa de Refeição,63.64,Refeição,Vendas
TX_1061,2008-04-03,Toby Flenderson,RH,Dunder Mifflin Warehouse - Despesa de Logística,4.02,Logística,Recursos Humanos
TX_1062,2008-04-03,Creed Bratton,Qualidade,Manutenção de Copiadora - Despesa de Manutenção,27.58,Manutenção,Qualidade
TX_1063,2008-04-03,Pam Beesly,Recepcionista,Água Crystal - Despesa de Copa e Cozinha,63.32,Copa e Cozinha,Administrativo
TX_1064,2008-04-03,Kevin Malone,Contador,Staples - Despesa de Material de Escritório,27.34,Material de Escritório,Contabilidade
TX_1065,2008-04-03,Michael Scott,Gerente Regional,Best Western Hotel - Despesa de Viagem,223.1,Viagem,Gerência
TX_1066,2008-04-03,Stanley Hudson,Vendedor,Amtrak Train - Despesa de Viagem,92.91,Viagem,Vendas
TX_1067,2008-04-03,Creed Bratton,Qualidade,Água Crystal - Despesa de Copa e Cozinha,6.39,Copa e Cozinha,Qualidade
TX_1068,2008-04-03,Michael Scott,Gerente Regional,Amtrak Train - Despesa de Viagem,214.45,Viagem,Gerência
TX_1069,2008-04-03,Stanley Hudson,Vendedor,Estacionamento Central - Despesa de Transporte Local,53.08,Transporte Local,Vendas
TX_1070,2008-04-03,Kelly Kapoor,Atendimento,Água Crystal - Despesa de Copa e Cozinha,9.66,Copa e Cozinha,Atendimento ao Cliente
TX_1071,2008-04-03,Dwight Schrute,Vendedor,Best Western Hotel - Despesa de Viagem,18.74,Viagem,Vendas
TX_1072,2008-04-03,Kelly Kapoor,Atendimento,Dunder Mifflin Warehouse - Despesa de Logística,10.84,Logística,Atendimento ao Cliente
TX_1073,2008-04-03,Michael Scott,Gerente Regional,Amtrak Train - Despesa de Viagem,87.78,Viagem,Gerência
TX_1074,2008-04-03,Creed Bratton,Qualidade,Água Crystal - Despesa de Copa e Cozinha,6.89,Copa e Cozinha,Qualidade
TX_1075,2008-04-03,Oscar Martinez,Contador,Staples - Despesa de Material de Escritório,64.09,Material de Escritório,Contabilidade
TX_1076,2008-04-03,Michael Scott,Gerente Regional,Chili's - Despesa de Refeição com Cliente,168.91,Refeição com Cliente,Gerência
TX_1077,2008-04-03,Kevin Malone,Contador,Dunder Mifflin Warehouse - Despesa de Logística,61.44,Logística,Contabilidade
TX_1078,2008-04-03,Meredith Palmer,Rel. Fornecedores,Água Crystal - Despesa de Copa e Cozinha,5.37,Copa e Cozinha,Suprimentos
TX_1079,2008-04-03,Pam Beesly,Recepcionista,FedEx - Despesa de Correios,76.24,Correios,Administrativo
TX_1080,2008-04-03,Pam Beesly,Recepcionista,Dunder Mifflin Warehouse - Despesa de Logística,61.6,Logística,Administrativo
TX_1081,2008-04-03,Oscar Martinez,Contador,FedEx - Despesa de Correios,34.2,Correios,Contabilidade
TX_1082,2008-04-03,Kelly Kapoor,Atendimento,FedEx - Despesa de Correios,34.07,Correios,Atendimento ao Cliente
TX_1083,2008-04-03,Michael Scott,Gerente Regional,Dunkin Donuts - Despesa de Refeição,272.93,Refeição,Gerência
TX_1084,2008-04-03,Angela Martin,Contadora,Staples - Despesa de Material de Escritório,46.74,Material de Escritório,Contabilidade
TX_1085,2008-04-03,Stanley Hudson,Vendedor,Gasolina Shell - Despesa de Transporte Local,39.7,Transporte Local,Vendas
TX_1086,2008-04-03,Kelly Kapoor,Atendimento,Dunder Mifflin Warehouse - Despesa de Logística,18.7,Logística,Atendimento ao Cliente
TX_1087,2008-04-03,Pam Beesly,Recepcionista,Manutenção de Copiadora - Despesa de Manutenção,52.1,Manutenção,Administrativo
TX_1088,2008-04-03,Oscar Martinez,Contador,Dunder Mifflin Warehouse - Despesa de Logística,50.62,Logística,Contabilidade
TX_1089,2008-04-03,Meredith Palmer,Rel. Fornecedores,Staples - Despesa de Material de Escritório,15.07,Material de Escritório,Suprimentos
TX_1090,2008-04-03,Pam Beesly,Recepcionista,Água Crystal - Despesa de Copa e Cozinha,62.54,Copa e Cozinha,Administrativo
TX_1091,2008-04-03,Phyllis Vance,Vendedor,Papelaria Local - Despesa de Material de Escritório,35.1,Material de Escritório,Vendas
TX_1092,2008-04-03,Phyllis Vance,Vendedor,Gasolina Shell - Despesa de Transporte Local,78.65,Transporte Local,Vendas
TX_1093,2008-04-03,Darryl Philbin,Chefe de Depósito,Vending Machine - Despesa de Diversos,19.0,Diversos,Depósito
TX_1094,2008-04-04,Kevin Malone,Contador,WCS Supplies - Consultoria de Cola,49.5,Manutenção,Contabilidade
TX_1095,2008-04-04,Kelly Kapoor,Atendimento,Dunder Mifflin Warehouse - Despesa de Logística,18.54,Logística,Atendimento ao Cliente
TX_1096,2008-04-04,Kelly Kapoor,Atendimento,FedEx - Despesa de Correios,38.03,Correios,Atendimento ao Cliente
TX_1097,2008-04-04,Andy Bernard,Vendedor,Hertz Rent-a-Car - Despesa de Viagem,70.7,Viagem,Vendas
TX_1098,2008-04-04,Michael Scott,Gerente Regional,Best Western Hotel - Despesa de Viagem,262.49,Viagem,Gerência
TX_1099,2008-04-04,Stanley Hudson,Vendedor,Papelaria Local - Despesa de Material de Escritório,114.01,Material de Escritório,Vendas
TX_1100,2008-04-04,Oscar Martinez,Contador,FedEx - Despesa de Correios,52.51,Correios,Contabilidade
TX_1101,2008-04-04,Andy Bernard,Vendedor,Chili's - Despesa de Refeição com Cliente,99.22,Refeição com Cliente,Vendas
TX_1102,2008-04-04,Toby Flenderson,RH,Staples - Despesa de Material de Escritório,7.39,Material de Escritório,Recursos Humanos
TX_1103,2008-04-04,Dwight Schrute,Vendedor,Dunkin Donuts - Despesa de Refeição,137.08,Refeição,Vendas
TX_1104,2008-04-04,Kevin Malone,Contador,Staples - Despesa de Material de Escritório,25.44,Material de Escritório,Contabilidade
TX_1105,2008-04-04,Oscar Martinez,Contador,Manutenção de Copiadora - Despesa de Manutenção,61.86,Manutenção,Contabilidade
TX_1106,2008-04-04,Andy Bernard,Vendedor,Estacionamento Central - Despesa de Transporte Local,92.59,Transporte Local,Vendas
TX_1107,2008-04-04,Dwight Schrute,Vendedor,Gasolina Shell - Despesa de Transporte Local,153.04,Transporte Local,Vendas
TX_1108,2008-04-04,Darryl Philbin,Chefe de Depósito,Dunder Mifflin Warehouse - Despesa de Logística,30.36,Logística,Depósito
TX_1109,2008-04-04,Stanley Hudson,Vendedor,Hertz Rent-a-Car - Despesa de Viagem,94.53,Viagem,Vendas
TX_1110,2008-04-04,Kelly Kapoor,Atendimento,Staples - Despesa de Material de Escritório,34.31,Material de Escritório,Atendimento ao Cliente
TX_1111,2008-04-04,Stanley Hudson,Vendedor,Dunkin Donuts - Despesa de Refeição,172.13,Refeição,Vendas
TX_1112,2008-04-04,Pam Beesly,Recepcionista,FedEx - Despesa de Correios,74.45,Correios,Administrativo
TX_1113,2008-04-04,Toby Flenderson,RH,Dunder Mifflin Warehouse - Despesa de Logística,21.32,Logística,Recursos Humanos
TX_1114,2008-04-04,Phyllis Vance,Vendedor,Papelaria Local - Despesa de Material de Escritório,87.77,Material de Escritório,Vendas
TX_1115,2008-04-04,Darryl Philbin,Chefe de Depósito,Dunder Mifflin Warehouse - Despesa de Logística,39.3,Logística,Depósito
TX_1116,2008-04-04,Pam Beesly,Recepcionista,Manutenção de Copiadora - Despesa de Manutenção,51.83,Manutenção,Administrativo
TX_1117,2008-04-04,Toby Flenderson,RH,Manutenção de Copiadora - Despesa de Manutenção,9.45,Manutenção,Recursos Humanos
TX_1118,2008-04-04,Dwight Schrute,Vendedor,Dunkin Donuts - Despesa de Refeição,101.66,Refeição,Vendas
TX_1119,2008-04-04,Angela Martin,Contadora,Dunder Mifflin Warehouse - Despesa de Logística,65.89,Logística,Contabilidade
TX_1120,2008-04-04,Darryl Philbin,Chefe de Depósito,Staples - Despesa de Material de Escritório,20.6,Material de Escritório,Depósito
TX_1121,2008-04-04,Toby Flenderson,RH,Dunder Mifflin Warehouse - Despesa de Logística,16.96,Logística,Recursos Humanos
TX_1122,2008-04-04,Creed Bratton,Qualidade,Vending Machine - Despesa de Diversos,2.14,Diversos,Qualidade
TX_1123,2008-04-04,Kelly Kapoor,Atendimento,Dunder Mifflin Warehouse - Despesa de Logística,32.18,Logística,Atendimento ao Cliente
TX_1124,2008-04-04,Oscar Martinez,Contador,Dunder Mifflin Warehouse - Despesa de Logística,32.74,Logística,Contabilidade
TX_1125,2008-04-04,Kevin Malone,Contador,Água Crystal - Despesa de Copa e Cozinha,58.84,Copa e Cozinha,Contabilidade
TX_1126,2008-04-04,Dwight Schrute,Vendedor,Chili's - Despesa de Refeição com Cliente,155.95,Refeição com Cliente,Vendas
TX_1127,2008-04-04,Michael Scott,Gerente Regional,Estacionamento Central - Despesa de Transporte Local,66.17,Transporte Local,Gerência
TX_1128,2008-04-04,Pam Beesly,Recepcionista,Manutenção de Copiadora - Despesa de Manutenção,59.72,Manutenção,Administrativo
TX_1129,2008-04-05,Kelly Kapoor,Atendimento,Dunder Mifflin Warehouse - Despesa de Logística,20.65,Logística,Atendimento ao Cliente
TX_1130,2008-04-05,Oscar Martinez,Contador,Dunder Mifflin Warehouse - Despesa de Logística,67.59,Logística,Contabilidade
TX_1131,2008-04-05,Kelly Kapoor,Atendimento,Staples - Despesa de Material de Escritório,22.67,Material de Escritório,Atendimento ao Cliente
TX_1132,2008-04-05,Meredith Palmer,Rel. Fornecedores,Água Crystal - Despesa de Copa e Cozinha,19.28,Copa e Cozinha,Suprimentos
TX_1133,2008-04-05,Stanley Hudson,Vendedor,Dunkin Donuts - Despesa de Refeição,179.56,Refeição,Vendas
TX_1134,2008-04-05,Pam Beesly,Recepcionista,Staples - Despesa de Material de Escritório,10.54,Material de Escritório,Administrativo
TX_1135,2008-04-05,Creed Bratton,Qualidade,Dunder Mifflin Warehouse - Despesa de Logística,21.37,Logística,Qualidade
TX_1136,2008-04-05,Michael Scott,Gerente Regional,Papelaria Local - Despesa de Material de Escritório,161.26,Material de Escritório,Gerência
TX_1137,2008-04-05,Kelly Kapoor,Atendimento,Vending Machine - Despesa de Diversos,35.08,Diversos,Atendimento ao Cliente
TX_1138,2008-04-05,Phyllis Vance,Vendedor,Papelaria Local - Despesa de Material de Escritório,73.25,Material de Escritório,Vendas
TX_1139,2008-04-05,Toby Flenderson,RH,Vending Machine - Despesa de Diversos,2.17,Diversos,Recursos Humanos
TX_1140,2008-04-05,Stanley Hudson,Vendedor,Gasolina Shell - Despesa de Transporte Local,33.37,Transporte Local,Vendas
TX_1141,2008-04-05,Pam Beesly,Recepcionista,Staples - Despesa de Material de Escritório,77.75,Material de Escritório,Administrativo
TX_1142,2008-04-05,Michael Scott,Gerente Regional,Amtrak Train - Despesa de Viagem,170.64,Viagem,Gerência
TX_1143,2008-04-05,Michael Scott,Gerente Regional,Best Western Hotel - Despesa de Viagem,290.81,Viagem,Gerência
TX_1144,2008-04-05,Toby Flenderson,RH,FedEx - Despesa de Correios,3.78,Correios,Recursos Humanos
TX_1145,2008-04-05,Dwight Schrute,Vendedor,Chili's - Despesa de Refeição com Cliente,179.2,Refeição com Cliente,Vendas
TX_1146,2008-04-05,Dwight Schrute,Vendedor,Chili's - Despesa de Refeição com Cliente,125.05,Refeição com Cliente,Vendas
TX_1147,2008-04-05,Pam Beesly,Recepcionista,Manutenção de Copiadora - Despesa de Manutenção,15.55,Manutenção,Administrativo
TX_1148,2008-04-05,Meredith Palmer,Rel. Fornecedores,Manutenção de Copiadora - Despesa de Manutenção,24.23,Manutenção,Suprimentos
TX_1149,2008-04-05,Pam Beesly,Recepcionista,Dunder Mifflin Warehouse - Despesa de Logística,40.02,Logística,Administrativo
TX_1150,2008-04-05,Toby Flenderson,RH,FedEx - Despesa de Correios,18.86,Correios,Recursos Humanos
TX_1151,2008-04-05,Dwight Schrute,Vendedor,Dunkin Donuts - Despesa de Refeição,167.69,Refeição,Vendas
TX_1152,2008-04-05,Angela Martin,Contadora,Manutenção de Copiadora - Despesa de Manutenção,33.17,Manutenção,Contabilidade
TX_1153,2008-04-05,Angela Martin,Contadora,Manutenção de Copiadora - Despesa de Manutenção,25.01,Manutenção,Contabilidade
TX_1154,2008-04-05,Andy Bernard,Vendedor,Papelaria Local - Despesa de Material de Escritório,157.46,Material de Escritório,Vendas
TX_1155,2008-04-05,Phyllis Vance,Vendedor,Chili's - Despesa de Refeição com Cliente,102.65,Refeição com Cliente,Vendas
TX_1156,2008-04-05,Creed Bratton,Qualidade,Dunder Mifflin Warehouse - Despesa de Logística,20.14,Logística,Qualidade
TX_1157,2008-04-05,Stanley Hudson,Vendedor,Cugino's - Despesa de Refeição com Cliente,143.33,Refeição com Cliente,Vendas
TX_1158,2008-04-05,Stanley Hudson,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,150.02,Refeição com Cliente,Vendas
TX_1159,2008-04-05,Kevin Malone,Contador,Dunder Mifflin Warehouse - Despesa de Logística,29.05,Logística,Contabilidade
TX_1160,2008-04-05,Angela Martin,Contadora,Dunder Mifflin Warehouse - Despesa de Logística,55.28,Logística,Contabilidade
TX_1161,2008-04-05,Meredith Palmer,Rel. Fornecedores,Vending Machine - Despesa de Diversos,27.5,Diversos,Suprimentos
TX_1162,2008-04-05,Kelly Kapoor,Atendimento,Manutenção de Copiadora - Despesa de Manutenção,14.18,Manutenção,Atendimento ao Cliente
TX_1163,2008-04-06,Angela Martin,Contadora,Dunder Mifflin Warehouse - Despesa de Logística,33.68,Logística,Contabilidade
TX_1164,2008-04-06,Angela Martin,Contadora,Manutenção de Copiadora - Despesa de Manutenção,18.26,Manutenção,Contabilidade
TX_1165,2008-04-06,Pam Beesly,Recepcionista,Água Crystal - Despesa de Copa e Cozinha,44.84,Copa e Cozinha,Administrativo
TX_1166,2008-04-06,Kelly Kapoor,Atendimento,Dunder Mifflin Warehouse - Despesa de Logística,32.9,Logística,Atendimento ao Cliente
TX_1167,2008-04-06,Michael Scott,Gerente Regional,Gasolina Shell - Despesa de Transporte Local,264.03,Transporte Local,Gerência
TX_1168,2008-04-06,Phyllis Vance,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,43.49,Refeição com Cliente,Vendas
TX_1169,2008-04-06,Pam Beesly,Recepcionista,Manutenção de Copiadora - Despesa de Manutenção,12.53,Manutenção,Administrativo
TX_1170,2008-04-06,Kelly Kapoor,Atendimento,FedEx - Despesa de Correios,39.96,Correios,Atendimento ao Cliente
TX_1171,2008-04-06,Oscar Martinez,Contador,Dunder Mifflin Warehouse - Despesa de Logística,45.97,Logística,Contabilidade
TX_1172,2008-04-06,Phyllis Vance,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,172.75,Refeição com Cliente,Vendas
TX_1173,2008-04-06,Creed Bratton,Qualidade,Staples - Despesa de Material de Escritório,3.85,Material de Escritório,Qualidade
TX_1174,2008-04-06,Dwight Schrute,Vendedor,Estacionamento Central - Despesa de Transporte Local,43.96,Transporte Local,Vendas
TX_1175,2008-04-06,Jim Halpert,Vendedor,Cugino's - Despesa de Refeição com Cliente,172.28,Refeição com Cliente,Vendas
TX_1176,2008-04-06,Dwight Schrute,Vendedor,Chili's - Despesa de Refeição com Cliente,26.28,Refeição com Cliente,Vendas
TX_1177,2008-04-06,Pam Beesly,Recepcionista,Água Crystal - Despesa de Copa e Cozinha,74.64,Copa e Cozinha,Administrativo
TX_1178,2008-04-06,Phyllis Vance,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,150.77,Refeição com Cliente,Vendas
TX_1179,2008-04-06,Oscar Martinez,Contador,Água Crystal - Despesa de Copa e Cozinha,75.4,Copa e Cozinha,Contabilidade
TX_1180,2008-04-06,Stanley Hudson,Vendedor,Hertz Rent-a-Car - Despesa de Viagem,75.74,Viagem,Vendas
TX_1181,2008-04-06,Jim Halpert,Vendedor,Dunkin Donuts - Despesa de Refeição,102.73,Refeição,Vendas
TX_1182,2008-04-06,Andy Bernard,Vendedor,Dunkin Donuts - Despesa de Refeição,25.07,Refeição,Vendas
TX_1183,2008-04-06,Michael Scott,Gerente Regional,Papelaria Local - Despesa de Material de Escritório,232.2,Material de Escritório,Gerência
TX_1184,2008-04-06,Jim Halpert,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,125.46,Refeição com Cliente,Vendas
TX_1185,2008-04-06,Kelly Kapoor,Atendimento,Dunder Mifflin Warehouse - Despesa de Logística,11.6,Logística,Atendimento ao Cliente
TX_1186,2008-04-06,Angela Martin,Contadora,Staples - Despesa de Material de Escritório,11.35,Material de Escritório,Contabilidade
TX_1187,2008-04-06,Creed Bratton,Qualidade,Staples - Despesa de Material de Escritório,32.01,Material de Escritório,Qualidade
TX_1188,2008-04-06,Michael Scott,Gerente Regional,Cugino's - Despesa de Refeição com Cliente,243.37,Refeição com Cliente,Gerência
TX_1189,2008-04-06,Andy Bernard,Vendedor,Cugino's - Despesa de Refeição com Cliente,60.49,Refeição com Cliente,Vendas
TX_1190,2008-04-06,Pam Beesly,Recepcionista,Staples - Despesa de Material de Escritório,62.26,Material de Escritório,Administrativo
TX_1191,2008-04-06,Angela Martin,Contadora,Dunder Mifflin Warehouse - Despesa de Logística,77.66,Logística,Contabilidade
TX_1192,2008-04-06,Andy Bernard,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,66.3,Refeição com Cliente,Vendas
TX_1193,2008-04-06,Creed Bratton,Qualidade,Água Crystal - Despesa de Copa e Cozinha,26.95,Copa e Cozinha,Qualidade
TX_1194,2008-04-06,Toby Flenderson,RH,Água Crystal - Despesa de Copa e Cozinha,5.18,Copa e Cozinha,Recursos Humanos
TX_1195,2008-04-06,Creed Bratton,Qualidade,Água Crystal - Despesa de Copa e Cozinha,38.37,Copa e Cozinha,Qualidade
TX_1196,2008-04-06,Angela Martin,Contadora,Dunder Mifflin Warehouse - Despesa de Logística,37.34,Logística,Contabilidade
TX_1197,2008-04-06,Andy Bernard,Vendedor,Gasolina Shell - Despesa de Transporte Local,86.79,Transporte Local,Vendas
TX_1198,2008-04-06,Kevin Malone,Contador,Água Crystal - Despesa de Copa e Cozinha,42.87,Copa e Cozinha,Contabilidade
TX_1199,2008-04-06,Dwight Schrute,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,48.63,Refeição com Cliente,Vendas
TX_1200,2008-04-06,Kevin Malone,Contador,Água Crystal - Despesa de Copa e Cozinha,43.03,Copa e Cozinha,Contabilidade
TX_1201,2008-04-06,Toby Flenderson,RH,FedEx - Despesa de Correios,10.35,Correios,Recursos Humanos
TX_1202,2008-04-07,Angela Martin,Contadora,Staples - Despesa de Material de Escritório,40.14,Material de Escritório,Contabilidade
TX_1203,2008-04-07,Oscar Martinez,Contador,Dunder Mifflin Warehouse - Despesa de Logística,57.78,Logística,Contabilidade
TX_1204,2008-04-07,Creed Bratton,Qualidade,FedEx - Despesa de Correios,33.68,Correios,Qualidade
TX_1205,2008-04-07,Meredith Palmer,Rel. Fornecedores,Staples - Despesa de Material de Escritório,39.17,Material de Escritório,Suprimentos
TX_1206,2008-04-07,Andy Bernard,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,39.29,Refeição com Cliente,Vendas
TX_1207,2008-04-07,Kevin Malone,Contador,Dunder Mifflin Warehouse - Despesa de Logística,75.0,Logística,Contabilidade
TX_1208,2008-04-07,Michael Scott,Gerente Regional,Amtrak Train - Despesa de Viagem,235.94,Viagem,Gerência
TX_1209,2008-04-07,Stanley Hudson,Vendedor,Papelaria Local - Despesa de Material de Escritório,24.75,Material de Escritório,Vendas
TX_1210,2008-04-07,Kelly Kapoor,Atendimento,Vending Machine - Despesa de Diversos,18.89,Diversos,Atendimento ao Cliente
TX_1211,2008-04-07,Andy Bernard,Vendedor,Hertz Rent-a-Car - Despesa de Viagem,146.09,Viagem,Vendas
